Sun May 27 22:28:01 2018    ./profiler_data/Opt_draw_functions\stats

         88789169 function calls (87461071 primitive calls) in 43.331 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 vec.py:173(cross)
       63    0.000    0.000    0.000    0.000 vec.py:94(<listcomp>)
       15    0.000    0.000    0.000    0.000 threading.py:1062(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       14    0.000    0.000    0.000    0.000 iostream.py:284(_is_master_process)
       33    0.000    0.000    0.000    0.000 __init__.py:1689(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1977(wm_title)
        1    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        1    0.000    0.000    0.000    0.000 ntpath.py:222(splitext)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
       14    0.000    0.000    0.000    0.000 iostream.py:297(_schedule_flush)
        8    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      122    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
       15    0.000    0.000    0.000    0.000 iostream.py:87(_event_pipe)
       15    0.000    0.000    0.000    0.000 __init__.py:2289(<listcomp>)
       76    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
       15    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       62    0.000    0.000    0.000    0.000 score.py:65(<lambda>)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       43    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       10    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 score.py:57(<listcomp>)
        2    0.000    0.000    0.000    0.000 visu.py:245(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 __init__.py:1876(wm_iconname)
        1    0.000    0.000    0.000    0.000 score.py:27(__str__)
       61    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'getvar' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
       61    0.000    0.000    0.000    0.000 {method 'weekday' of 'datetime.date' objects}
        2    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 os.py:732(encodekey)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
       61    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        3    0.000    0.000    0.000    0.000 main.py:97(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       15    0.000    0.000    0.000    0.000 threading.py:506(is_set)
        5    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 main.py:67(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 {built-in method now}
       16    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 main.py:207(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 {method 'writelines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'globalunsetvar' of '_tkinter.tkapp' objects}
       24    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        4    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 os.py:726(check_str)
